Loan_Amount_Term,Credit_History,LoanAmount_Log,TotalIncome_Log,Education_Enc,Loan_Status_Enc,Gender_Male,Married_Yes,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Dependents_1,Dependents_2,Dependents_3+
360.0,1.0,4.795790545596741,8.674196940225903,1,1,True,False,False,False,True,False,False,False
360.0,1.0,4.859812404361672,8.714731714015052,1,0,True,True,False,False,False,True,False,False
360.0,1.0,4.204692619390966,8.006700845440367,1,1,True,True,True,False,True,False,False,False
360.0,1.0,4.795790545596741,8.505525386548555,0,1,True,True,False,False,True,False,False,False
360.0,1.0,4.955827057601261,8.699681400989514,1,1,True,False,False,False,True,False,False,False
360.0,1.0,5.5909869805108565,9.170975648453906,1,1,True,True,True,False,True,False,True,False
360.0,1.0,4.564348191467836,8.25582842728183,0,1,True,True,False,False,True,False,False,False
360.0,0.0,5.0689042022202315,8.61993026886735,1,0,True,True,False,True,False,False,False,True
360.0,1.0,5.1298987149230735,8.618485442898109,1,1,True,True,False,False,True,False,True,False
360.0,1.0,5.857933154483459,10.077860939480908,1,0,True,True,False,True,False,True,False,False
360.0,1.0,4.2626798770413155,8.268988209506656,1,1,True,True,False,False,True,False,True,False
360.0,1.0,4.700480365792417,8.375860015299594,1,1,True,True,False,False,True,False,True,False
360.0,1.0,5.303304908059076,9.32188174670909,1,1,True,True,False,False,True,False,True,False
360.0,1.0,4.74493212836325,8.454040376410969,1,0,True,False,False,False,False,False,False,False
120.0,1.0,2.8903717578961645,7.777373602657861,1,1,True,True,False,False,True,False,True,False
360.0,1.0,4.836281906951478,8.507344855361422,1,1,True,False,False,False,True,False,False,False
240.0,1.0,4.61512051684126,8.187855443695623,0,1,True,False,False,False,True,True,False,False
360.0,0.0,4.343805421853684,8.163656176168432,1,0,False,False,False,False,True,False,False,False
360.0,1.0,4.897839799950911,8.494538500851432,0,0,True,True,False,False,False,False,False,False
360.0,1.0,4.7535901911063645,8.716207971151853,1,1,True,True,False,False,True,False,False,False
360.0,0.0,4.653960350157523,8.94389780251682,0,0,True,True,False,False,True,False,False,False
360.0,1.0,5.755742213586912,9.357121103184378,1,1,True,True,False,False,True,True,False,False
360.0,0.0,4.762173934797756,8.414495793177895,0,0,True,True,False,True,False,False,False,False
360.0,0.0,4.727387818712341,8.572249397164315,0,0,True,True,False,False,False,False,True,False
360.0,1.0,5.0238805208462765,8.80131894766524,1,0,True,True,False,True,False,True,False,False
360.0,1.0,5.2574953720277815,9.165447603085447,1,1,True,True,True,True,False,False,False,False
360.0,1.0,4.812184355372417,8.527737405291909,1,1,True,True,False,True,False,False,False,False
360.0,1.0,4.709530201312334,8.569216219483389,0,1,True,True,False,False,True,False,True,False
360.0,1.0,3.58351893845611,7.274479558773871,0,0,True,False,False,False,True,False,False,False
360.0,1.0,4.795790545596741,8.671458150427666,1,1,False,False,False,True,False,False,True,False
