customer_id,year_of_birth ,educational_level,marital_status,annual_income,purhcase_date,recency,online_purchases,store_purchases,complaints,calls,intercoms
20201701,1978,Graduation,Divorced,66098.0,12/19/2013,13,10,2,0,4,11
20201702,1991,Graduation,Divorced,64690.0,5/14/2013,64,26,9,0,3,7
20201703,1968,PhD,Divorced,47150.0,3/19/2013,62,10,2,0,3,11
20201704,1954,Graduation,Married,52714.0,1/3/2013,99,1,10,0,4,11
20201705,1982,Graduation,Married,29912.0,4/10/2014,19,16,11,0,4,7
20201706,1947,Graduation,Relationship,50655.0,8/19/2013,76,8,0,4,3,11
20201707,1960,Graduation,Single,69751.0,3/9/2014,80,27,10,0,6,11
20201708,1978,Master,Divorced,42089.0,10/28/2014,43,27,12,4,3,11
20201709,1997,Graduation,Divorced,67347.0,2/20/2013,74,1,4,1,3,7
20201710,1958,PhD,Relationship,53374.0,11/13/2013,89,23,13,3,4,11
20201711,1962,Graduation,Divorced,,9/7/2013,20,14,3,2,3,7
20201712,1950,PhD,Relationship,35390.0,10/14/2013,95,15,8,1,3,2
20201713,1950,Graduation,Widowed,65790.0,5/9/2014,68,24,8,0,3,11
20201714,1963,Graduation,Married,60288.0,7/27/2013,44,3,13,0,4,11
20201715,1992,High School,Married,53526.0,11/28/2014,23,7,4,0,3,11
20201716,1975,Master,Married,47890.0,11/23/2012,2,8,9,3,4,11
20201717,1979,Master,Married,55159.0,2/25/2012,22,25,3,3,3,7
20201718,1963,Graduation,Divorced,65204.0,9/28/2013,57,25,6,0,3,11
20201719,1942,Graduation,Widowed,74138.0,9/19/2013,72,4,5,0,6,7
20201720,1961,Graduation,Single,74855.0,4/15/2013,7,15,3,0,3,2
20201721,1992,PhD,Single,57579.0,4/20/2013,78,12,12,1,6,11
20201722,1941,Graduation,Married,49421.0,6/14/2013,56,6,12,0,3,11
20201723,1963,Master,Relationship,54194.0,10/24/2012,67,25,9,2,6,11
20201724,1983,Graduation,Divorced,59832.0,10/6/2014,16,19,1,5,3,2
20201725,1969,High School,Single,59771.0,10/21/2013,83,16,0,0,3,11
20201726,1977,Graduation,Widowed,71620.0,6/4/2014,51,2,3,0,3,11
20201727,1941,Master,Relationship,83736.0,12/8/2014,82,4,3,0,3,7
20201728,1999,Graduation,Single,,1/17/2014,80,18,12,0,4,11
20201729,1960,Graduation,Divorced,84338.0,9/9/2012,72,11,0,0,3,2
20201730,1972,PhD,Relationship,69584.0,2/1/2014,97,26,5,0,3,11
20201731,1951,Graduation,Married,50488.0,5/24/2013,12,6,3,4,3,11
20201732,1997,Graduation,Single,74478.0,9/20/2013,53,27,0,0,3,7
20201733,1961,High School,Single,77285.0,4/25/2013,75,8,0,0,4,11
20201734,1983,Master,Single,45096.0,11/14/2014,5,27,12,4,3,11
20201735,1964,Graduation,Relationship,77983.0,3/11/2013,27,5,0,2,4,7
20201736,1988,Graduation,Widowed,68126.0,7/21/2014,12,25,7,0,4,11
20201737,1966,Graduation,Single,87528.0,6/3/2013,17,16,9,1,5,11
20201738,1998,Master,Married,45639.0,8/9/2014,6,15,7,0,3,7
20201739,1981,Graduation,Single,46699.0,3/27/2014,97,22,1,2,4,11
20201740,1967,Graduation,Single,21600.0,5/14/2013,5,2,10,2,6,11
20201741,1999,Graduation,Relationship,60568.0,10/9/2014,57,20,12,1,4,11
20201742,1955,Graduation,Married,57629.0,4/4/2012,28,25,6,0,3,11
20201743,1954,PhD,Married,43555.0,4/27/2012,78,3,13,3,4,11
20201744,1986,Graduation,Married,,4/4/2012,69,9,7,0,4,11
20201745,1990,High School,Divorced,32332.0,10/28/2013,59,4,7,0,4,11
20201746,1983,Graduation,Married,69977.0,8/8/2013,33,20,10,0,3,11
20201747,1994,Graduation,Relationship,44655.0,6/2/2012,62,21,9,0,3,11
20201748,1991,Graduation,Married,98411.0,3/9/2012,50,9,10,0,5,11
